"Notes","Year","Year Code","Census Division of Residence","Census Division of Residence Code","Age of Mother 9","Age of Mother 9 Code","Source of Payment for Delivery","Source of Payment for Delivery Code","Month Prenatal Care Began","Month Prenatal Care Began Code",Births,Average Number of Prenatal Visits
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","No prenatal care","00",26,0.00
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","1st month","01",62,14.51
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","2nd month","02",887,12.71
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","3rd month","03",872,12.07
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","4th month","04",321,10.57
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","5th month","05",142,9.27
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","6th month","06",106,9.10
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","7th month","07",89,7.24
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","8th month","08",64,5.59
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","9th month","09",28,3.89
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Medicaid","1","Unknown or Not Stated","99",49,8.59
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","1st month","01",10,11.89
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","2nd month","02",256,12.31
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","3rd month","03",244,11.86
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","4th month","04",69,10.97
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","5th month","05",42,9.76
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","6th month","06",28,8.89
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","7th month","07",35,7.33
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","8th month","08",18,6.11
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Private Insurance","2","Unknown or Not Stated","99",11,11.14
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Self Pay","3","2nd month","02",18,13.22
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Self Pay","3","3rd month","03",23,11.26
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Self Pay","3","4th month","04",11,10.09
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Self Pay","3","5th month","05",12,9.67
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Other","4","2nd month","02",26,13.31
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Other","4","3rd month","03",29,11.62
,"2019","2019","Division 1: New England","CENS-D1","15-19 years","15-19","Other","4","5th month","05",10,8.40
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","No prenatal care","00",58,0.00
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","1st month","01",270,13.56
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","2nd month","02",4212,13.09
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","3rd month","03",3659,12.11
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","4th month","04",1004,10.78
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","5th month","05",515,9.36
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","6th month","06",310,8.44
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","7th month","07",231,7.19
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","8th month","08",184,5.58
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","9th month","09",66,3.54
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Medicaid","1","Unknown or Not Stated","99",144,10.88
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","No prenatal care","00",32,0.00
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","1st month","01",174,13.87
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","2nd month","02",2538,13.21
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","3rd month","03",1947,12.51
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","4th month","04",414,11.17
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","5th month","05",215,10.08
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","6th month","06",135,9.02
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","7th month","07",88,7.36
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","8th month","08",68,6.22
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","9th month","09",28,4.75
,"2019","2019","Division 1: New England","CENS-D1","20-24 years","20-24","Private Insurance","2","Unknown or Not Stated","99",54,10.97
