"Notes","Year","Year Code","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code","Previous Cesarean Delivery","Previous Cesarean Delivery Code","Mother's Pre-pregnancy BMI","Mother's Pre-pregnancy BMI Code",Births
,"2021","2021","Alabama","01","Vaginal","1","Yes","1","Underweight <18.5","1",32
,"2021","2021","Alabama","01","Vaginal","1","Yes","1","Normal 18.5-24.9","2",315
,"2021","2021","Alabama","01","Vaginal","1","Yes","1","Overweight 25.0-29.9","3",263
,"2021","2021","Alabama","01","Vaginal","1","Yes","1","Obesity I 30.0-34.9","4",158
,"2021","2021","Alabama","01","Vaginal","1","Yes","1","Obesity II 35.0-39.9","5",83
,"2021","2021","Alabama","01","Vaginal","1","Yes","1","Extreme Obesity III > 39.9","6",77
,"2021","2021","Alabama","01","Vaginal","1","Yes","1","Unknown or Not Stated","9",17
,"2021","2021","Alabama","01","Vaginal","1","No","2","Underweight <18.5","1",1305
,"2021","2021","Alabama","01","Vaginal","1","No","2","Normal 18.5-24.9","2",14267
,"2021","2021","Alabama","01","Vaginal","1","No","2","Overweight 25.0-29.9","3",9736
,"2021","2021","Alabama","01","Vaginal","1","No","2","Obesity I 30.0-34.9","4",6042
,"2021","2021","Alabama","01","Vaginal","1","No","2","Obesity II 35.0-39.9","5",2951
,"2021","2021","Alabama","01","Vaginal","1","No","2","Extreme Obesity III > 39.9","6",2134
,"2021","2021","Alabama","01","Vaginal","1","No","2","Unknown or Not Stated","9",272
,"2021","2021","Alabama","01","Cesarean","2","Yes","1","Underweight <18.5","1",126
,"2021","2021","Alabama","01","Cesarean","2","Yes","1","Normal 18.5-24.9","2",1709
,"2021","2021","Alabama","01","Cesarean","2","Yes","1","Overweight 25.0-29.9","3",1852
,"2021","2021","Alabama","01","Cesarean","2","Yes","1","Obesity I 30.0-34.9","4",1637
,"2021","2021","Alabama","01","Cesarean","2","Yes","1","Obesity II 35.0-39.9","5",1093
,"2021","2021","Alabama","01","Cesarean","2","Yes","1","Extreme Obesity III > 39.9","6",1170
,"2021","2021","Alabama","01","Cesarean","2","Yes","1","Unknown or Not Stated","9",36
,"2021","2021","Alabama","01","Cesarean","2","No","2","Underweight <18.5","1",241
,"2021","2021","Alabama","01","Cesarean","2","No","2","Normal 18.5-24.9","2",3450
,"2021","2021","Alabama","01","Cesarean","2","No","2","Overweight 25.0-29.9","3",3149
,"2021","2021","Alabama","01","Cesarean","2","No","2","Obesity I 30.0-34.9","4",2518
,"2021","2021","Alabama","01","Cesarean","2","No","2","Obesity II 35.0-39.9","5",1631
,"2021","2021","Alabama","01","Cesarean","2","No","2","Extreme Obesity III > 39.9","6",1736
,"2021","2021","Alabama","01","Cesarean","2","No","2","Unknown or Not Stated","9",50
,"2021","2021","Alaska","02","Vaginal","1","Yes","1","Normal 18.5-24.9","2",88
,"2021","2021","Alaska","02","Vaginal","1","Yes","1","Overweight 25.0-29.9","3",76
,"2021","2021","Alaska","02","Vaginal","1","Yes","1","Obesity I 30.0-34.9","4",44
,"2021","2021","Alaska","02","Vaginal","1","Yes","1","Obesity II 35.0-39.9","5",25
,"2021","2021","Alaska","02","Vaginal","1","Yes","1","Extreme Obesity III > 39.9","6",10
,"2021","2021","Alaska","02","Vaginal","1","No","2","Underweight <18.5","1",130
,"2021","2021","Alaska","02","Vaginal","1","No","2","Normal 18.5-24.9","2",2889
,"2021","2021","Alaska","02","Vaginal","1","No","2","Overweight 25.0-29.9","3",1823
,"2021","2021","Alaska","02","Vaginal","1","No","2","Obesity I 30.0-34.9","4",971
,"2021","2021","Alaska","02","Vaginal","1","No","2","Obesity II 35.0-39.9","5",480
,"2021","2021","Alaska","02","Vaginal","1","No","2","Extreme Obesity III > 39.9","6",308
,"2021","2021","Alaska","02","Vaginal","1","No","2","Unknown or Not Stated","9",188
,"2021","2021","Alaska","02","Vaginal","1","Unknown or Not Stated","9","Normal 18.5-24.9","2",21
,"2021","2021","Alaska","02","Vaginal","1","Unknown or Not Stated","9","Overweight 25.0-29.9","3",10
,"2021","2021","Alaska","02","Cesarean","2","Yes","1","Normal 18.5-24.9","2",213
,"2021","2021","Alaska","02","Cesarean","2","Yes","1","Overweight 25.0-29.9","3",231
,"2021","2021","Alaska","02","Cesarean","2","Yes","1","Obesity I 30.0-34.9","4",145
