"Notes","Year","Year Code","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code","Previous Cesarean Delivery","Previous Cesarean Delivery Code","Maternal Morbidity Checked","Maternal Morbidity Checked Code",Births
,"2019","2019","Alabama","01","Vaginal","1","Yes","1","At least one checked","0",22
,"2019","2019","Alabama","01","Vaginal","1","Yes","1","None checked","1",793
,"2019","2019","Alabama","01","Vaginal","1","No","2","At least one checked","0",383
,"2019","2019","Alabama","01","Vaginal","1","No","2","None checked","1",37135
,"2019","2019","Alabama","01","Cesarean","2","Yes","1","At least one checked","0",85
,"2019","2019","Alabama","01","Cesarean","2","Yes","1","None checked","1",7509
,"2019","2019","Alabama","01","Cesarean","2","No","2","At least one checked","0",134
,"2019","2019","Alabama","01","Cesarean","2","No","2","None checked","1",12536
,"2019","2019","Alaska","02","Vaginal","1","Yes","1","At least one checked","0",11
,"2019","2019","Alaska","02","Vaginal","1","Yes","1","None checked","1",280
,"2019","2019","Alaska","02","Vaginal","1","No","2","At least one checked","0",177
,"2019","2019","Alaska","02","Vaginal","1","No","2","None checked","1",7093
,"2019","2019","Alaska","02","Vaginal","1","No","2","Unknown or Not Stated","9",61
,"2019","2019","Alaska","02","Vaginal","1","Unknown or Not Stated","9","None checked","1",59
,"2019","2019","Alaska","02","Cesarean","2","Yes","1","At least one checked","0",18
,"2019","2019","Alaska","02","Cesarean","2","Yes","1","None checked","1",804
,"2019","2019","Alaska","02","Cesarean","2","No","2","At least one checked","0",26
,"2019","2019","Alaska","02","Cesarean","2","No","2","None checked","1",1255
,"2019","2019","Arizona","04","Vaginal","1","Yes","1","At least one checked","0",36
,"2019","2019","Arizona","04","Vaginal","1","Yes","1","None checked","1",1937
,"2019","2019","Arizona","04","Vaginal","1","No","2","At least one checked","0",595
,"2019","2019","Arizona","04","Vaginal","1","No","2","None checked","1",54760
,"2019","2019","Arizona","04","Cesarean","2","Yes","1","At least one checked","0",155
,"2019","2019","Arizona","04","Cesarean","2","Yes","1","None checked","1",9369
,"2019","2019","Arizona","04","Cesarean","2","No","2","At least one checked","0",223
,"2019","2019","Arizona","04","Cesarean","2","No","2","None checked","1",12292
,"2019","2019","Arkansas","05","Vaginal","1","Yes","1","At least one checked","0",18
,"2019","2019","Arkansas","05","Vaginal","1","Yes","1","None checked","1",565
,"2019","2019","Arkansas","05","Vaginal","1","No","2","At least one checked","0",280
,"2019","2019","Arkansas","05","Vaginal","1","No","2","None checked","1",23090
,"2019","2019","Arkansas","05","Cesarean","2","Yes","1","At least one checked","0",44
,"2019","2019","Arkansas","05","Cesarean","2","Yes","1","None checked","1",5598
,"2019","2019","Arkansas","05","Cesarean","2","No","2","At least one checked","0",80
,"2019","2019","Arkansas","05","Cesarean","2","No","2","None checked","1",6882
,"2019","2019","California","06","Vaginal","1","Yes","1","At least one checked","0",151
,"2019","2019","California","06","Vaginal","1","Yes","1","None checked","1",8197
,"2019","2019","California","06","Vaginal","1","No","2","At least one checked","0",3629
,"2019","2019","California","06","Vaginal","1","No","2","None checked","1",296518
,"2019","2019","California","06","Vaginal","1","No","2","Unknown or Not Stated","9",312
,"2019","2019","California","06","Vaginal","1","Unknown or Not Stated","9","None checked","1",23
,"2019","2019","California","06","Vaginal","1","Unknown or Not Stated","9","Unknown or Not Stated","9",304
,"2019","2019","California","06","Cesarean","2","Yes","1","At least one checked","0",497
,"2019","2019","California","06","Cesarean","2","Yes","1","None checked","1",63934
,"2019","2019","California","06","Cesarean","2","Yes","1","Unknown or Not Stated","9",20
