"Notes","Year","Year Code","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code","Mother's Pre-pregnancy BMI","Mother's Pre-pregnancy BMI Code","Maternal Morbidity Checked","Maternal Morbidity Checked Code",Births
,"2019","2019","Alabama","01","Under 15 years","15","Normal 18.5-24.9","2","None checked","1",26
,"2019","2019","Alabama","01","Under 15 years","15","Overweight 25.0-29.9","3","None checked","1",12
,"2019","2019","Alabama","01","15-19 years","15-19","Underweight <18.5","1","None checked","1",266
,"2019","2019","Alabama","01","15-19 years","15-19","Normal 18.5-24.9","2","At least one checked","0",32
,"2019","2019","Alabama","01","15-19 years","15-19","Normal 18.5-24.9","2","None checked","1",1733
,"2019","2019","Alabama","01","15-19 years","15-19","Overweight 25.0-29.9","3","At least one checked","0",15
,"2019","2019","Alabama","01","15-19 years","15-19","Overweight 25.0-29.9","3","None checked","1",904
,"2019","2019","Alabama","01","15-19 years","15-19","Obesity I 30.0-34.9","4","At least one checked","0",11
,"2019","2019","Alabama","01","15-19 years","15-19","Obesity I 30.0-34.9","4","None checked","1",484
,"2019","2019","Alabama","01","15-19 years","15-19","Obesity II 35.0-39.9","5","None checked","1",222
,"2019","2019","Alabama","01","15-19 years","15-19","Extreme Obesity III > 39.9","6","None checked","1",172
,"2019","2019","Alabama","01","15-19 years","15-19","Unknown or Not Stated","9","None checked","1",104
,"2019","2019","Alabama","01","20-24 years","20-24","Underweight <18.5","1","None checked","1",646
,"2019","2019","Alabama","01","20-24 years","20-24","Normal 18.5-24.9","2","At least one checked","0",72
,"2019","2019","Alabama","01","20-24 years","20-24","Normal 18.5-24.9","2","None checked","1",5380
,"2019","2019","Alabama","01","20-24 years","20-24","Overweight 25.0-29.9","3","At least one checked","0",27
,"2019","2019","Alabama","01","20-24 years","20-24","Overweight 25.0-29.9","3","None checked","1",3696
,"2019","2019","Alabama","01","20-24 years","20-24","Obesity I 30.0-34.9","4","At least one checked","0",13
,"2019","2019","Alabama","01","20-24 years","20-24","Obesity I 30.0-34.9","4","None checked","1",2573
,"2019","2019","Alabama","01","20-24 years","20-24","Obesity II 35.0-39.9","5","None checked","1",1481
,"2019","2019","Alabama","01","20-24 years","20-24","Extreme Obesity III > 39.9","6","None checked","1",1072
,"2019","2019","Alabama","01","20-24 years","20-24","Unknown or Not Stated","9","None checked","1",296
,"2019","2019","Alabama","01","25-29 years","25-29","Underweight <18.5","1","At least one checked","0",11
,"2019","2019","Alabama","01","25-29 years","25-29","Underweight <18.5","1","None checked","1",519
,"2019","2019","Alabama","01","25-29 years","25-29","Normal 18.5-24.9","2","At least one checked","0",66
,"2019","2019","Alabama","01","25-29 years","25-29","Normal 18.5-24.9","2","None checked","1",6374
,"2019","2019","Alabama","01","25-29 years","25-29","Overweight 25.0-29.9","3","At least one checked","0",51
,"2019","2019","Alabama","01","25-29 years","25-29","Overweight 25.0-29.9","3","None checked","1",4683
,"2019","2019","Alabama","01","25-29 years","25-29","Obesity I 30.0-34.9","4","At least one checked","0",24
