"Notes","Year","Year Code","State of Residence","State of Residence Code","Month Prenatal Care Began","Month Prenatal Care Began Code","Delivery Method","Delivery Method Code","Maternal Morbidity Checked","Maternal Morbidity Checked Code",Births
,"2019","2019","Alabama","01","No prenatal care","00","Vaginal","1","At least one checked","0",17
,"2019","2019","Alabama","01","No prenatal care","00","Vaginal","1","None checked","1",1126
,"2019","2019","Alabama","01","No prenatal care","00","Cesarean","2","At least one checked","0",18
,"2019","2019","Alabama","01","No prenatal care","00","Cesarean","2","None checked","1",316
,"2019","2019","Alabama","01","1st month","01","Vaginal","1","At least one checked","0",11
,"2019","2019","Alabama","01","1st month","01","Vaginal","1","None checked","1",974
,"2019","2019","Alabama","01","1st month","01","Cesarean","2","At least one checked","0",11
,"2019","2019","Alabama","01","1st month","01","Cesarean","2","None checked","1",679
,"2019","2019","Alabama","01","2nd month","02","Vaginal","1","At least one checked","0",166
,"2019","2019","Alabama","01","2nd month","02","Vaginal","1","None checked","1",13167
,"2019","2019","Alabama","01","2nd month","02","Cesarean","2","At least one checked","0",66
,"2019","2019","Alabama","01","2nd month","02","Cesarean","2","None checked","1",7534
,"2019","2019","Alabama","01","3rd month","03","Vaginal","1","At least one checked","0",120
,"2019","2019","Alabama","01","3rd month","03","Vaginal","1","None checked","1",11900
,"2019","2019","Alabama","01","3rd month","03","Cesarean","2","At least one checked","0",62
,"2019","2019","Alabama","01","3rd month","03","Cesarean","2","None checked","1",6430
,"2019","2019","Alabama","01","4th month","04","Vaginal","1","At least one checked","0",36
,"2019","2019","Alabama","01","4th month","04","Vaginal","1","None checked","1",4481
,"2019","2019","Alabama","01","4th month","04","Cesarean","2","At least one checked","0",15
,"2019","2019","Alabama","01","4th month","04","Cesarean","2","None checked","1",2244
,"2019","2019","Alabama","01","5th month","05","Vaginal","1","At least one checked","0",21
,"2019","2019","Alabama","01","5th month","05","Vaginal","1","None checked","1",2432
,"2019","2019","Alabama","01","5th month","05","Cesarean","2","At least one checked","0",18
,"2019","2019","Alabama","01","5th month","05","Cesarean","2","None checked","1",1161
,"2019","2019","Alabama","01","6th month","06","Vaginal","1","At least one checked","0",14
,"2019","2019","Alabama","01","6th month","06","Vaginal","1","None checked","1",1448
,"2019","2019","Alabama","01","6th month","06","Cesarean","2","None checked","1",650
,"2019","2019","Alabama","01","7th month","07","Vaginal","1","None checked","1",1114
,"2019","2019","Alabama","01","7th month","07","Cesarean","2","None checked","1",504
,"2019","2019","Alabama","01","8th month","08","Vaginal","1","None checked","1",762
,"2019","2019","Alabama","01","8th month","08","Cesarean","2","None checked","1",324
,"2019","2019","Alabama","01","9th month","09","Vaginal","1","None checked","1",256
,"2019","2019","Alabama","01","9th month","09","Cesarean","2","None checked","1",104
,"2019","2019","Alabama","01","Unknown or Not Stated","99","Vaginal","1","None checked","1",267
,"2019","2019","Alabama","01","Unknown or Not Stated","99","Cesarean","2","None checked","1",96
,"2019","2019","Alaska","02","No prenatal care","00","Vaginal","1","None checked","1",63
,"2019","2019","Alaska","02","No prenatal care","00","Cesarean","2","None checked","1",21
,"2019","2019","Alaska","02","1st month","01","Vaginal","1","None checked","1",165
,"2019","2019","Alaska","02","1st month","01","Cesarean","2","None checked","1",48
,"2019","2019","Alaska","02","2nd month","02","Vaginal","1","At least one checked","0",76
,"2019","2019","Alaska","02","2nd month","02","Vaginal","1","None checked","1",2586
,"2019","2019","Alaska","02","2nd month","02","Vaginal","1","Unknown or Not Stated","9",23
,"2019","2019","Alaska","02","2nd month","02","Cesarean","2","At least one checked","0",10
,"2019","2019","Alaska","02","2nd month","02","Cesarean","2","None checked","1",766
,"2019","2019","Alaska","02","3rd month","03","Vaginal","1","At least one checked","0",68
,"2019","2019","Alaska","02","3rd month","03","Vaginal","1","None checked","1",2667
,"2019","2019","Alaska","02","3rd month","03","Vaginal","1","Unknown or Not Stated","9",17
,"2019","2019","Alaska","02","3rd month","03","Cesarean","2","At least one checked","0",17
,"2019","2019","Alaska","02","3rd month","03","Cesarean","2","None checked","1",706
,"2019","2019","Alaska","02","4th month","04","Vaginal","1","At least one checked","0",17
,"2019","2019","Alaska","02","4th month","04","Vaginal","1","None checked","1",770
,"2019","2019","Alaska","02","4th month","04","Vaginal","1","Unknown or Not Stated","9",10
,"2019","2019","Alaska","02","4th month","04","Cesarean","2","None checked","1",175
,"2019","2019","Alaska","02","5th month","05","Vaginal","1","None checked","1",411
,"2019","2019","Alaska","02","5th month","05","Cesarean","2","None checked","1",93
,"2019","2019","Alaska","02","6th month","06","Vaginal","1","None checked","1",218
,"2019","2019","Alaska","02","6th month","06","Cesarean","2","None checked","1",56
,"2019","2019","Alaska","02","7th month","07","Vaginal","1","None checked","1",197
,"2019","2019","Alaska","02","7th month","07","Cesarean","2","None checked","1",33
,"2019","2019","Alaska","02","8th month","08","Vaginal","1","None checked","1",114
,"2019","2019","Alaska","02","8th month","08","Cesarean","2","None checked","1",49
,"2019","2019","Alaska","02","9th month","09","Vaginal","1","None checked","1",47
,"2019","2019","Alaska","02","9th month","09","Cesarean","2","None checked","1",14
,"2019","2019","Alaska","02","Unknown or Not Stated","99","Vaginal","1","None checked","1",194
,"2019","2019","Alaska","02","Unknown or Not Stated","99","Cesarean","2","None checked","1",105
,"2019","2019","Arizona","04","No prenatal care","00","Vaginal","1","At least one checked","0",23
,"2019","2019","Arizona","04","No prenatal care","00","Vaginal","1","None checked","1",1523
,"2019","2019","Arizona","04","No prenatal care","00","Cesarean","2","At least one checked","0",39
,"2019","2019","Arizona","04","No prenatal care","00","Cesarean","2","None checked","1",498
,"2019","2019","Arizona","04","1st month","01","Vaginal","1","At least one checked","0",19
,"2019","2019","Arizona","04","1st month","01","Vaginal","1","None checked","1",2749
,"2019","2019","Arizona","04","1st month","01","Cesarean","2","None checked","1",1124
,"2019","2019","Arizona","04","2nd month","02","Vaginal","1","At least one checked","0",244
,"2019","2019","Arizona","04","2nd month","02","Vaginal","1","None checked","1",21859
,"2019","2019","Arizona","04","2nd month","02","Cesarean","2","At least one checked","0",125
,"2019","2019","Arizona","04","2nd month","02","Cesarean","2","None checked","1",8506
,"2019","2019","Arizona","04","3rd month","03","Vaginal","1","At least one checked","0",154
,"2019","2019","Arizona","04","3rd month","03","Vaginal","1","None checked","1",14679
,"2019","2019","Arizona","04","3rd month","03","Cesarean","2","At least one checked","0",109
,"2019","2019","Arizona","04","3rd month","03","Cesarean","2","None checked","1",5785
