"Notes","Year","Year Code","State of Residence","State of Residence Code","Source of Payment for Delivery","Source of Payment for Delivery Code","Delivery Method","Delivery Method Code","Maternal Morbidity Checked","Maternal Morbidity Checked Code",Births
,"2019","2019","Alabama","01","Medicaid","1","Vaginal","1","At least one checked","0",178
,"2019","2019","Alabama","01","Medicaid","1","Vaginal","1","None checked","1",19167
,"2019","2019","Alabama","01","Medicaid","1","Cesarean","2","At least one checked","0",117
,"2019","2019","Alabama","01","Medicaid","1","Cesarean","2","None checked","1",9671
,"2019","2019","Alabama","01","Private Insurance","2","Vaginal","1","At least one checked","0",208
,"2019","2019","Alabama","01","Private Insurance","2","Vaginal","1","None checked","1",16389
,"2019","2019","Alabama","01","Private Insurance","2","Cesarean","2","At least one checked","0",93
,"2019","2019","Alabama","01","Private Insurance","2","Cesarean","2","None checked","1",9493
,"2019","2019","Alabama","01","Self Pay","3","Vaginal","1","None checked","1",975
,"2019","2019","Alabama","01","Self Pay","3","Cesarean","2","None checked","1",306
,"2019","2019","Alabama","01","Other","4","Vaginal","1","At least one checked","0",12
,"2019","2019","Alabama","01","Other","4","Vaginal","1","None checked","1",1356
,"2019","2019","Alabama","01","Other","4","Cesarean","2","None checked","1",571
,"2019","2019","Alabama","01","Unknown or Not Stated","9","Vaginal","1","None checked","1",43
,"2019","2019","Alaska","02","Medicaid","1","Vaginal","1","At least one checked","0",63
,"2019","2019","Alaska","02","Medicaid","1","Vaginal","1","None checked","1",2923
,"2019","2019","Alaska","02","Medicaid","1","Vaginal","1","Unknown or Not Stated","9",29
,"2019","2019","Alaska","02","Medicaid","1","Cesarean","2","At least one checked","0",17
,"2019","2019","Alaska","02","Medicaid","1","Cesarean","2","None checked","1",722
,"2019","2019","Alaska","02","Private Insurance","2","Vaginal","1","At least one checked","0",76
,"2019","2019","Alaska","02","Private Insurance","2","Vaginal","1","None checked","1",2508
,"2019","2019","Alaska","02","Private Insurance","2","Vaginal","1","Unknown or Not Stated","9",15
,"2019","2019","Alaska","02","Private Insurance","2","Cesarean","2","At least one checked","0",14
,"2019","2019","Alaska","02","Private Insurance","2","Cesarean","2","None checked","1",859
,"2019","2019","Alaska","02","Self Pay","3","Vaginal","1","None checked","1",266
,"2019","2019","Alaska","02","Self Pay","3","Cesarean","2","None checked","1",72
,"2019","2019","Alaska","02","Other","4","Vaginal","1","At least one checked","0",45
,"2019","2019","Alaska","02","Other","4","Vaginal","1","None checked","1",1635
,"2019","2019","Alaska","02","Other","4","Vaginal","1","Unknown or Not Stated","9",18
,"2019","2019","Alaska","02","Other","4","Cesarean","2","At least one checked","0",12
,"2019","2019","Alaska","02","Other","4","Cesarean","2","None checked","1",401
,"2019","2019","Alaska","02","Unknown or Not Stated","9","Vaginal","1","None checked","1",100
,"2019","2019","Alaska","02","Unknown or Not Stated","9","Cesarean","2","None checked","1",12
,"2019","2019","Arizona","04","Medicaid","1","Vaginal","1","At least one checked","0",271
,"2019","2019","Arizona","04","Medicaid","1","Vaginal","1","None checked","1",28118
,"2019","2019","Arizona","04","Medicaid","1","Cesarean","2","At least one checked","0",216
,"2019","2019","Arizona","04","Medicaid","1","Cesarean","2","None checked","1",10243
,"2019","2019","Arizona","04","Private Insurance","2","Vaginal","1","At least one checked","0",255
,"2019","2019","Arizona","04","Private Insurance","2","Vaginal","1","None checked","1",22943
,"2019","2019","Arizona","04","Private Insurance","2","Cesarean","2","At least one checked","0",106
,"2019","2019","Arizona","04","Private Insurance","2","Cesarean","2","None checked","1",9725
,"2019","2019","Arizona","04","Self Pay","3","Vaginal","1","At least one checked","0",42
,"2019","2019","Arizona","04","Self Pay","3","Vaginal","1","None checked","1",2563
,"2019","2019","Arizona","04","Self Pay","3","Cesarean","2","None checked","1",617
,"2019","2019","Arizona","04","Other","4","Vaginal","1","At least one checked","0",63
,"2019","2019","Arizona","04","Other","4","Vaginal","1","None checked","1",2941
,"2019","2019","Arizona","04","Other","4","Cesarean","2","At least one checked","0",47
,"2019","2019","Arizona","04","Other","4","Cesarean","2","None checked","1",1033
,"2019","2019","Arizona","04","Unknown or Not Stated","9","Vaginal","1","None checked","1",132
,"2019","2019","Arizona","04","Unknown or Not Stated","9","Cesarean","2","None checked","1",43
,"2019","2019","Arkansas","05","Medicaid","1","Vaginal","1","At least one checked","0",99
,"2019","2019","Arkansas","05","Medicaid","1","Vaginal","1","None checked","1",10969
,"2019","2019","Arkansas","05","Medicaid","1","Cesarean","2","At least one checked","0",57
,"2019","2019","Arkansas","05","Medicaid","1","Cesarean","2","None checked","1",5466
,"2019","2019","Arkansas","05","Private Insurance","2","Vaginal","1","At least one checked","0",183
,"2019","2019","Arkansas","05","Private Insurance","2","Vaginal","1","None checked","1",11219
,"2019","2019","Arkansas","05","Private Insurance","2","Cesarean","2","At least one checked","0",57
,"2019","2019","Arkansas","05","Private Insurance","2","Cesarean","2","None checked","1",6451
,"2019","2019","Arkansas","05","Self Pay","3","Vaginal","1","At least one checked","0",11
,"2019","2019","Arkansas","05","Self Pay","3","Vaginal","1","None checked","1",990
,"2019","2019","Arkansas","05","Self Pay","3","Cesarean","2","None checked","1",305
,"2019","2019","Arkansas","05","Other","4","Vaginal","1","None checked","1",256
,"2019","2019","Arkansas","05","Other","4","Cesarean","2","None checked","1",130
,"2019","2019","Arkansas","05","Unknown or Not Stated","9","Vaginal","1","None checked","1",221
,"2019","2019","Arkansas","05","Unknown or Not Stated","9","Cesarean","2","None checked","1",128
,"2019","2019","California","06","Medicaid","1","Vaginal","1","At least one checked","0",808
,"2019","2019","California","06","Medicaid","1","Vaginal","1","None checked","1",122694
,"2019","2019","California","06","Medicaid","1","Vaginal","1","Unknown or Not Stated","9",94
,"2019","2019","California","06","Medicaid","1","Cesarean","2","At least one checked","0",540
,"2019","2019","California","06","Medicaid","1","Cesarean","2","None checked","1",54797
,"2019","2019","California","06","Medicaid","1","Cesarean","2","Unknown or Not Stated","9",21
,"2019","2019","California","06","Private Insurance","2","Vaginal","1","At least one checked","0",2558
,"2019","2019","California","06","Private Insurance","2","Vaginal","1","None checked","1",154966
,"2019","2019","California","06","Private Insurance","2","Vaginal","1","Unknown or Not Stated","9",78
,"2019","2019","California","06","Private Insurance","2","Cesarean","2","At least one checked","0",553
,"2019","2019","California","06","Private Insurance","2","Cesarean","2","None checked","1",70023
,"2019","2019","California","06","Private Insurance","2","Cesarean","2","Unknown or Not Stated","9",18
,"2019","2019","California","06","Self Pay","3","Vaginal","1","At least one checked","0",80
,"2019","2019","California","06","Self Pay","3","Vaginal","1","None checked","1",11165
,"2019","2019","California","06","Self Pay","3","Vaginal","1","Unknown or Not Stated","9",398
,"2019","2019","California","06","Self Pay","3","Cesarean","2","At least one checked","0",25
,"2019","2019","California","06","Self Pay","3","Cesarean","2","None checked","1",4651
,"2019","2019","California","06","Other","4","Vaginal","1","At least one checked","0",330
,"2019","2019","California","06","Other","4","Vaginal","1","None checked","1",15466
,"2019","2019","California","06","Other","4","Vaginal","1","Unknown or Not Stated","9",13
,"2019","2019","California","06","Other","4","Cesarean","2","At least one checked","0",71
,"2019","2019","California","06","Other","4","Cesarean","2","None checked","1",6441
,"2019","2019","California","06","Unknown or Not Stated","9","Vaginal","1","None checked","1",447
,"2019","2019","California","06","Unknown or Not Stated","9","Vaginal","1","Unknown or Not Stated","9",35
,"2019","2019","California","06","Unknown or Not Stated","9","Cesarean","2","None checked","1",179
,"2019","2019","Colorado","08","Medicaid","1","Vaginal","1","At least one checked","0",235
,"2019","2019","Colorado","08","Medicaid","1","Vaginal","1","None checked","1",17323
,"2019","2019","Colorado","08","Medicaid","1","Cesarean","2","At least one checked","0",93
,"2019","2019","Colorado","08","Medicaid","1","Cesarean","2","None checked","1",5781
,"2019","2019","Colorado","08","Private Insurance","2","Vaginal","1","At least one checked","0",343
,"2019","2019","Colorado","08","Private Insurance","2","Vaginal","1","None checked","1",23417
,"2019","2019","Colorado","08","Private Insurance","2","Cesarean","2","At least one checked","0",88
,"2019","2019","Colorado","08","Private Insurance","2","Cesarean","2","None checked","1",9333
,"2019","2019","Colorado","08","Self Pay","3","Vaginal","1","At least one checked","0",24
,"2019","2019","Colorado","08","Self Pay","3","Vaginal","1","None checked","1",1853
,"2019","2019","Colorado","08","Self Pay","3","Cesarean","2","At least one checked","0",10
,"2019","2019","Colorado","08","Self Pay","3","Cesarean","2","None checked","1",444
,"2019","2019","Colorado","08","Other","4","Vaginal","1","At least one checked","0",39
,"2019","2019","Colorado","08","Other","4","Vaginal","1","None checked","1",2563
,"2019","2019","Colorado","08","Other","4","Cesarean","2","None checked","1",979
,"2019","2019","Colorado","08","Unknown or Not Stated","9","Vaginal","1","None checked","1",235
,"2019","2019","Colorado","08","Unknown or Not Stated","9","Cesarean","2","None checked","1",88
,"2019","2019","Connecticut","09","Medicaid","1","Vaginal","1","At least one checked","0",97
,"2019","2019","Connecticut","09","Medicaid","1","Vaginal","1","None checked","1",8300
,"2019","2019","Connecticut","09","Medicaid","1","Cesarean","2","At least one checked","0",56
,"2019","2019","Connecticut","09","Medicaid","1","Cesarean","2","None checked","1",4270
,"2019","2019","Connecticut","09","Private Insurance","2","Vaginal","1","At least one checked","0",242
